,Name,ContactNo,Address,Link
0,"Fresh Basket -
Bahadurabad Branch",(021) 38893930,"Char Minar Chowrangi, Bahadurabad BMCHS Sharafabad, Karachi, Karachi City, Sindh 79001",http://freshbasket.com.pk/
1,Bismillah Fruit Shop,0345 3186474,"Badar Comm. Street 12, Phase V Badar Commercial Area Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
2,Vegetable & Fruits Shop,Not found.,"Block 5 Shah Faisal Colony 5 Shah Faisal Colony, Karachi, Karachi City, Sindh",Not Found
3,Mandi Express,0333 0362634,0333 0362634,http://www.mandiexpress.pk/
4,Liaqat Fruit Shop,Not found.,"liaqat fruit shop, Malir Cantonment, Karachi, Karachi City, Sindh",Not Found
5,Abdullah Vegetable & Fruit Shop,Not found.,"4th Commercial Ln, D.H.A. Phase 4 Phase 4 Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
6,Zakir Brothers Fresh Fruit Shop,Not found.,"Block 4 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",Not Found
7,Shokat Fruit Shop,Not found.,"8, 18 24 Market Rd, Sector 5-J Sector 5 Gulshan e Habib, Karachi, Karachi City, Sindh",Not Found
8,Ubaid fruit shop,Not found.,"Bukhari Commercial Area Phase 6 Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
9,Janzada Vegetables and Fruits,Not found.,"Block 19 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",Not Found
10,BISMILLAH fruit shop,Not found.,"D7 Road, Majeed Colony Majeed Colony 1 Landhi Town, Karachi, Karachi City, Sindh 75120",Not Found
11,Sultan Fruit Shop,Not found.,"Khayaban-e-Mujahid, Phase V Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
12,Karachi Market,Not found.,"Karachi - Hyderabad Motorway, Gulshan e Sachal, Karachi, Karachi City, Sindh",Not Found
13,Rehman Fruit Shop,Not found.,"Hazara Rd, Gulshan-e-Jamal (Railway Colony, Gulshan-e-Jamal Block E Gulshan e Jamal, Karachi, Karachi City, Sindh",Not Found
14,Sabzi & Fruit Shop,0313 1237833,"Rose Garden, Block 13 Gulistan-e-Johar, Karachi, Karachi City, Sindh",https://sabzi-fruit-shop.business.site/?utm_source=gmb&utm_medium=referral
15,"A-one chicken, vegetables and fruit shop",0303 0778996,"SEHER COMMERCIAL SEHER COMMERCIAL PHASE VI, Lane 4, D.H.A. Phase 7 Seher Commercial Area Phase 7 Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
16,CSD Fruit & Vegetables Shop,Not found.,"Malir Cantonment, Karachi, Karachi City, Sindh",Not Found
17,Fruit and vegetables carts,0312 2118453,"University Rd, Block 4 Gulistan-e-Johar, Karachi, Karachi City, Sindh",Not Found
18,Bahadur Veggie Shop,Not found.,"Block 5 Shah Faisal Colony 5 Shah Faisal Colony, Karachi, Karachi City, Sindh",Not Found
19,Al Asmaar Fruits And Vegetables,Not found.,"128 Malir Cantonment, Karachi, Karachi City, Sindh",Not Found
20,Fruit Trader karachi,Not found.,"Block-2, Shop# 6-LB, New Sabzi Fruit Market, Karachi - Hyderabad Motorway, New Sabzi Mandi, Karachi, Karachi City, Sindh",Not Found
