,Name,ContactNo,Address,Link
0,Dr. Fruit,+60 3-3359 6453,"10-1-1, Jalan Setia Prima B U13/B, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",Not Found
1,Farm fruits,+60 10-896 7583,"Tesco, OLG 12 & 13, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",Not Found
2,Fruit Garden,+60 3-5887 2799,"No. 19-G, Jalan Setia Indah X U13/X, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",Not Found
3,无牙榴梿档,+60 12-227 4222,"Jalan Setia Prima A U13/A, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",Not Found
4,City Fresh Fruits,+60 12-309 5123,"No.16-1-1, Jalan Prima (B) U13/B,, Setia Alam, Seksyen U13., Setia Alam, 40170 Shah Alam, Selangor, Malaysia",Not Found
5,Yew Sheng Fresh Market,+60 16-665 5288,"12-G, Jalan Setia Indah Y U13/Y, Seksyen U13, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",https://www.facebook.com/yewshengfreshmarket?ref=aymt_homepage_panel
6,MBG Fruits @ Plaza Alam Sentral,+60 3-5511 8602,"Plaza Alam Sentral, Lot CAG-09, Ground Floor, Jalan Majlis, Seksyen 14, 40000 Shah Alam, Selangor, Malaysia",Not Found
7,1313 Durian Toothless Stall,+60 13-318 4222,"Setia Alam, 40170 Shah Alam, Selangor, Malaysia",Not Found
8,Urbanfresh @ Setia City Mall,+60 3-3375 8688,"LG - SM, Setia City Mall, No 7, Persiaran Setia Dagang, Bandar Setia Alam, 40170 Shah Alam, Selangor, Malaysia",http://www.urbanfresh.com.my/
9,Fruity (Seksyen 9),+60 10-768 6625,"9, Jl. Tengku Ampuan Zabedah E 9/E, Seksyen 9, 40100 Shah Alam, Selangor, Malaysia",https://www.facebook.com/fruitymalaysia/
10,D & N FRESH MARKET SDN BHD,+60 3-3362 6348,"No 14G, Jalan Rodat 2/KU5, Bandar Bukit Raja, 41050 Klang, Selangor, Malaysia",Not Found
11,Golden Harvest Village Enterprise,+60 16-697 7961,"8, Jalan Rodat 2/KU5, Bandar Bukit Raja, 41050 Klang, Selangor, Malaysia",Not Found
12,Fruits Like,+60 13-877 7307,"No. 58-G, Jalan Sungai Burung AA32/AA, Bukit Rimau Seksyen 32, 40460 Shah Alam, Selangor, Malaysia",http://www.fruitslike.com.my/
13,Xtra Fruit,+60 3-5892 4986,"23,, 13, Jalan Anggerik Vanilla M 31/M, Kota Kemuning, 40460 Shah Alam, Selangor, Malaysia",Not Found
14,GSC GROCER水果专卖店 Setia Alam,+60 3-3358 0186,"No 4-G , Jalan Setia Utama(AV) U13/AV, Setia Alam, seksyen U13, 40170 Shah Alam, Selangor, Malaysia",Not Found
15,Juice Works - Setia City Mall,+60 3-5885 8504,"Shah Alam (North) L1-K02, Level 1, Setia City Mall, No. 7, Persiaran Setia Dagang, Bandar Setia Alam, Seksyen U13, Malaysia",Not Found
16,Dr. Fruit Kota Kemuning,+60 3-5131 6354,"67, Jalan Anggerik Vanilla N 31/N, Kota Kemuning, 40460 Shah Alam, Selangor, Malaysia",Not Found
17,"Jaya Grocer, Ardence Labs",+60 3-8605 3649,"Bandar Bukit Raja, 40170 Shah Alam, Selangor, Malaysia",Not Found
18,Seng Chong Fruit Trading,+60 16-308 5400,"16, Lorong Kasawari 4, Taman Eng Ann, 41150 Klang, Selangor, Malaysia",Not Found
19,Tesco Setia Alam,+60 1-300-13-1313,"2, 3, Jalan Setia Prima P U13/P, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",Not Found
