,Name,ContactNo,Address,Link
1,Baba Pan Shop,Not found.,"Block 1 Shah Faisal Colony 1 Shah Faisal Colony, Karachi, Karachi City, Sindh 75230",Not Found
2,Zain Pan Shop,0310 2308447,"K-473 Khaddi Stop Korangi No 5 Karachi Karachi,Pakistan",Not Found
3,Chand Pan Shop,Not found.,"Shahrah Noor Jahan, Sector 7 D North Karachi Twp, Karachi, Karachi City, Sindh",Not Found
4,Shah Alam Pan Shop,0324 2442824,"Unnamed Road, Zia Colony Korangi Sector 32 A Korangi, Karachi, Karachi City, Sindh 12345",https://shah-alam-pan-shop.business.site/?utm_source=gmb&utm_medium=referral
5,Akhtar Pan Shop,Not found.,"Orangi 10 No Rd, Sector 10 Hanifabad, Karachi, Karachi City, Sindh",Not Found
6,LATIF Pan Shop,Not found.,"Tanki Market 75080,، Saudabad, Saudabad S1 Saudabad, Karachi, Karachi City, Sindh 75080",Not Found
7,Sheesh Mehel Paan Shop شیش محل پان شاپ,Not found.,"5th Number Liaquatabad، Altaf Ali Barelvi Rd, Block 5 Liaquatabad Town, Karachi, Karachi City, Sindh",Not Found
8,Akhtar Pan Shop,Not found.,"Street Number 10, Ghaziabad Christian Colony, Karachi, Karachi City, Sindh",Not Found
9,Diamond Pan Shop,Not found.,"Saudabad C Area Malir Colony Malir Cantonment, Karachi, Karachi City, Sindh",Not Found
10,Antiques | Vintage & other House Hold Item For Sale Karachi,0300 2555003,"Shop 2, Plot # 6-C , Lane 4, Khayaban-e-Ittehad Road, D.H.A Phase 6 Ittehad Commercial Area Phase 6 Defence Housing Authority, Karachi, KARACHI, Sindh 75000",https://antique-vintage-stuff-for-sale-exchange-in.business.site/?utm_source=gmb&utm_medium=referral
11,Diamond Pan Shop,0313 2233868,"Plot A/5 ; Street # 1 ; Mehmoodabad Gate :, Mehmoodabad, Karachi, Karachi City, Sindh 75460",Not Found
12,World Electronics,0321 2880692,"Jackson Bazar Street Number 2, Jackson Bazaar Karachi, Karachi City, Sindh",Not Found
13,Samsung Service Center,Not found.,"UB-26, 1404 Aga Khan III Rd (Garden Road), Empress Market Karachi, Karachi City, Sindh",Not Found
14,OMEGA,Not found.,"Ground Floor, Dolmen Mall, Block 4 Clifton, Karachi, Karachi City, Sindh",Not Found
15,TAG HEUER BOUTIQUE DOLMEN MALL CLIFTON,(021) 35296104,"Ground Level, Dolmen Mall Clifton, Sea View, Block 5 Clifton, Karachi, Karachi City, Pakistan 75600",Not Found
16,TAG HEUER BOUTIQUE THE FORUM,(021) 35377115,"The Forum, Ground Floor, Khayaban-E-Jami, Clifton, Gulbahar, Karachi, Karachi City, Sindh 74600",Not Found
17,Link International Exchange Company Pvt Ltd,(021) 34322567,"Pakistan Employees Co-Operative Housing Society Block-6 Block 6 PECHS, Karachi, Karachi City, Sindh",Not Found
18,Link International Exchange company pvt ltd,0300 0546529,"Unnamed Road, Shahbaz Commercial Area Phase 6 Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
19,Farah Talib Aziz,0305 5555366,"Plot # F-42 , Street E, Block 4 Clifton, Karachi, Karachi City, Sindh 74800",https://www.farahtalibaziz.com.pk/
20,Karachi Branded Cut Piece,Not found.,"Mominabad Rd, Sector 3 Sindh Industrial Trading Estate, Karachi, Karachi City, Sindh",Not Found
21,The Garage Sale Company,0342 5221623,"Shop No 1, Plot No.5-C, Small Bukhari, Saba Aveunue, Phase VI، 4th South Street، Phase 6 Defence Housing Authority, Karachi, Karachi City, Sindh 75500",http://www.facebook.com/thegaragesalecompany
22,"PEL customer service Center, Naseerabad",Not found.,"Plot R, 285, Federal B Area Naseerabad Block 14 Gulberg Town, Karachi, Karachi City, Sindh 75950",Not Found
23,Bin Saeed Fabric,0311 2900343,"Shop No. 25,27, Mehran Shopping Centre، Main Clifton Road، near Jaffarjees، Block 8 Clifton, Karachi, Karachi City, Sindh 75600",https://www.binsaeedfabric.com/
24,Karachi Pakwan & Caterers,Not found.,"Pakistan Employees Co-Operative Housing Society Block 6 PECHS, Karachi, Karachi City, Sindh",Not Found
25,Red Apple,(021) 38242333,"Kheyaban-e-Saadi, opposite Bilawal House، Block 2 Clifton, Karachi, Karachi City, Sindh",Not Found
26,Bambino Pan Shop 2,Not found.,"D Ground Block B People's Colony No 1, Faisalabad, Punjab",Not Found
27,Thai Thong Pawnshop Co (Pte) Ltd,+65 6293 5102,"74 Serangoon Rd, Singapore 217979",Not Found
