,Name,ContactNo,Address
0,Anabia's Collection (Online Women Clothing Store),0320 2231090,"Kawish Crown Plaza, 512, Shahrah-e-Faisal, Karachi Memon Co-operative Housing Society Umar Colony, Karachi, Karachi City, Sindh 75350"
1,Exclusive Inn Fashion Boutique,0315 2268541,"Sabah Centre, 04, Bahadurabad Karachi City, Sindh 75600"
2,Image,(021) 35878132,"15/C 3rd Zamzama Commercial Lane, Phase V Zamzama Commercial Area Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 75500"
3,keshia store,(021) 37223069,"4th floor, building, Suite 403, 5c South Park Avenue, D.H.A. Phase 2 Phase 2 Commercial Area Defence Housing Authority, Karachi, Karachi City, Sindh 74600"
4,ZEEN,(021) 37181071,"LuckyOne Mall, LA-2/B, Opp. UBL Sports Complex, Rashid Minhas Rd, Federal B Area Block 21 Gulberg Town, Karachi, Karachi City, Sindh, Pakistan, Rashid Minhas Rd, Block 21 Gulberg Town, Karachi, Karachi City, Sindh"
5,Khas Store Home & Fashion,0300 8623375,"Bahadurabad Bahadur Yar Jang CHS, Karachi, Karachi City, Sindh"
6,Joray Exclusive Store,0345 2612700,"Shop 30, Main Liaquat Ali Khan Rd, Model Colony Tina Square, Karachi, Karachi City, Sindh"
7,Diana Wedding Dress,0333 3737436,"Tariq Rd, P.E.C.H.S. Block 2 PECHS, Karachi, Karachi City, Sindh"
8,Faash Wear,0342 2220090,"Shahrah-e-Faisal, Pakistan Employees Co-Operative Housing Society Nursery PECHS, Karachi, Karachi City, Sindh 75350"
9,"Khaadi Outlet Store, Atrium Mall",(021) 35644318,"Shop No. 8,9,10 & 11 2nd Floor Atrium Mall plot #249, Fatima Jinnah Rd, Saddar Karachi Cantonment, Karachi, Karachi City, Sindh 75530"
10,Ladies clothes shop,Contact No not found.,"Unnamed Road, Phase IV Phase 4 Defence Housing Authority, Karachi, Karachi City, Sindh 75500"
11,Kayseria Luckyone mall,(021) 37181100,"Federal B Area Block 21 Gulberg Town, Karachi, Karachi City, Sindh"
12,Trendz Collection Online Store,0321 8233382,"Sumya Silk Mall, Shop # LG-05, Main Shaheed-e-Millat, Road, Bahadurabad Bahadur Yar Jang CHS, Karachi, Karachi City, Sindh"
13,Attire by Bushra Wahid,0311 3856888,"Zamzama Commercial Area Defence V Karachi, Karachi City, Sindh 75600"
14,Cross Stitch,(021) 35293837,"Dolmen City Mall,, Sea View Rd, Block 4 Clifton, Karachi, Karachi City, Sindh 75600"
15,The Wardrobe Boutique,(021) 34931855,"Bahadurabad Arcade Bahadur Shah Zafar Road, Bahadurabad Bahadur Yar Jang CHS, Karachi, Karachi City, Sindh"
16,NazJunaid,0331 2217426,"Shop #2 plot 5E lane 7 zamazama commercial karachi, Zamzama Commercial Area Defence V Karachi, Karachi City, Sindh 75600"
17,Hang Ten,(021) 34312506,"Kehkashan Mall, Tariq Rd, PECHS, Karachi, Sindh"
18,Ayesha-Somaya Design Studio & Flagship store,(021) 35240022,"12C/1، Bukhari commercial،, Bukhari Ln 5, D.H.A Phase 6 Bukhari Commercial Area Phase 6 Defence Housing Authority, Karachi, Karachi City, Sindh 75500"
19,Sapphire Store,(021) 35296441,"Block 8 Clifton, Karachi, Karachi City, Sindh 75600"
