,Name,ContactNo,Address,Link
1,"Simi Jewelers &
Pawnbrokers",+1 805-526-6789,"2513 Tapo St #6, Simi Valley, CA 93063, United States",http://simipawn.com/
2,"Latino Pawn and
Jewelry Store",+1 323-586-0626,"1724 E Florence Ave, Los Angeles, CA 90001, United States",http://latinopawn.com/
3,Mr Steve's Pawn Shop,+1 323-735-0110,"3800 S Western Ave, Los Angeles, CA 90062, United States",http://www.mrstevespawnshop.com/
4,Zak's Famous 24 Hour Pawn Shop,+1 323-957-9400,"6767 Santa Monica Blvd, Los Angeles, CA 90038, United States",Not Found
5,A Plus A Pawn Shop,+1 213-484-5414,"186 S Alvarado St, Los Angeles, CA 90057, United States",http://aplusapawnshop.com/
6,Pico Union Pawn Shop,+1 323-931-1616,"4579 W Pico Blvd, Los Angeles, CA 90019, United States",https://picounionpawn.com/
7,L A Top Pawn Shop,+1 323-913-0393,"4119 Beverly Blvd, Los Angeles, CA 90004, United States",Not Found
8,L A Central Pawnshop,+1 323-231-0151,"1000 W 43rd St, Los Angeles, CA 90037, United States",https://www.facebook.com/L-A-Central-Pawn-Shop-106463056080078/
9,Hollywood Pawnbrokers / United Pawn,+1 323-463-3760,"736 Vine St, Los Angeles, CA 90038, United States",http://www.pawnonvine.com/
10,Alvarado Pawn Shop,+1 213-413-4441,"2015 W 6th St, Los Angeles, CA 90057, United States",http://www.alvaradopawn.com/
11,Continental Pawn Shop,+1 310-815-8905,"1804 La Cienega Blvd #6, Los Angeles, CA 90035, United States",Not Found
12,Community Pawn Shop,+1 323-306-0248,"4401 S Broadway, Los Angeles, CA 90037, United States",http://communitypawnshop.com/
13,Gold & Silver Pawn Shop,+1 213-388-4653,"127 Vermont Ave, Los Angeles, CA 90004, United States",Not Found
14,Diamond Jewelry & Loan,+1 323-469-1319,"5511 Santa Monica Blvd, Los Angeles, CA 90038, United States",https://laloancompany.com/
15,Sunset Pawnbrokers,+1 323-874-7860,"1647 N La Brea Ave, Los Angeles, CA 90028, United States",https://www.sunsetpawnbrokers.com/
16,Beverly Pawn n Cash Shop,+1 213-383-5362,"3802 Beverly Blvd, Los Angeles, CA 90004, United States",https://beverlypawncash.com/
17,Royal Pawn Shop,+1 213-386-8600,"305 S Vermont Ave, Los Angeles, CA 90020, United States",Not Found
18,One Stop Pawn,+1 310-204-4653,"2304 S La Cienega Blvd, Los Angeles, CA 90034, United States",Not Found
19,Cash for gold Los Angeles,+1 213-793-0303,"5429 CA-2, Los Angeles, CA 90029, United States",Not Found
20,Ally Pawn Shop,+1 323-291-1444,"4437 Crenshaw Blvd, Los Angeles, CA 90043, United States",Not Found
21,Latino Pawn and Jewelry Store,+1 323-586-0626,"1724 E Florence Ave, Los Angeles, CA 90001, United States",http://latinopawn.com/
22,Pawn Shop Los Angeles,+1 323-469-1319,"5511 Santa Monica Blvd, Los Angeles, CA 90038, United States",Not Found
