,Name,ContactNo,Address,Link
1,British Lingerie Studio,(021) 37181003,"FB Indus-Area Block 21 Block 21 Gulberg Town, Karachi, Karachi City, Sindh",Not Found
2,SALAMAH NIGHT WEARS,(021) 34535687,"Tariq Road , shop no 3 , Ali center, Block 2 PECHS, Karachi, Karachi City, Sindh 75400",Not Found
3,Intimate Fashions,0332 2254020,"BMCHS Rd No. 4, Bihar Muslim Society BMCHS Sharafabad, Karachi, Karachi City, Sindh",Not Found
4,The Lingerie Shop,Not found.,"Plot No, Khadda Market, 29-C Stadium Lane 1, Phase V Stadium Commercial Area Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 74800",Not Found
5,The Lingerie Store,0317 4716500,"Stadium Lane 4, Phase V Stadium Commercial Area Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
6,Ladychoice.pk,0348 2228854,0348 2228854,Not Found
7,Al-Raheem Undergarments,Not found.,"New Uzma Centre, Tariq Rd, PECHS, Karachi, Sindh",Not Found
8,NightyLovers.pk,0300 0129915,"F5 Grace Shopping Mall, University Rd, Karachi, 75270",http://nightylovers.pk/
9,Miss Essential,0307 1644112,"Dolmen Mall, Shop # F-41, Tariq Rd, Delhi CHS PECHS, Karachi, Karachi City, Sindh 00000",Not Found
10,Undergarments by TIC marketing,0348 2558083,"A-05 block, 9, near farzana dawa Khana,Karachi, Federal B Area Yaseenabad, Karachi, Karachi City, Sindh 75950",Not Found
11,CandiesWear,0334 3616366,"Federal B Area Block 18 Tabacenter, Karachi, Karachi City, Sindh 75950",Not Found
12,Flourish official outlet,Not found.,"Meraj Manzil, Bahadurabad Bahadur Yar Jang CHS, Karachi, Karachi City, Sindh",Not Found
13,Women'Secret,Not found.,"1 Sea View Rd, Block 4 Clifton, Karachi, Karachi City, Sindh 74400",Not Found
14,Flourish official,(021) 34323336,"Main liberty signal, opposite metro shoes, Karachi, 74400",Not Found
15,Flourish Official Hyderi,0318 2389455,"Flourish Outlet Noor Market, main hyderi market, next to Madni mall, Karachi",Not Found
16,OneLove.pk,0321 2858227,"House# 1, Plot# 7، Amir Khusro Road, C.P. & Berar Society Block B Shabbirabad, Karachi, Karachi City, Sindh 75500",Not Found
17,Multi collection undergarments,(021) 32751559,"Shop # 63, Gul plaza Mall Basement, 8 M.A Jinnah Rd, Preedy Quarters, Karachi, Karachi City, Sindh",Not Found
18,Monro Studio,0315 6788346,0315 6788346,http://www.monrostudio.com/
19,Nighty Time,0335 2169496,"Bakshi St, Soldier Bazaar, Karachi, Karachi City, Sindh",Not Found
20,NIGHTYnight,0302 8205125,"729C، P.E.C.H.S Block 2 Block 2 PECHS, Karachi, Karachi City, Sindh",Not Found
21,Multi collection,(021) 34389502,"Shop # 3, al-ghani centre, Tariq Rd, near triq centre, Block 2 PECHS, Karachi, Karachi City, Sindh",https://multi-collection-lingerie-store.business.site/?utm_source=gmb&utm_medium=referral
22,WomenWear.PK,0317 2828534,"Plot No. SB-25, Shop#2, Sector X-4 Near Nawaz Shareef Park، Sector X Gulshan-e-Maymar, Karachi, Karachi City, Sindh 75340",Not Found
23,Alam's Under Garments,0345 6173232,"near police station, model colony، Liaquat Avenue، Block 10 Model Colony, Karachi, Karachi City, Sindh",Not Found
24,www.JSONLINE.PK,0331 6665463,0331 6665463,http://jsonline.pk/
25,Candieswear,0313 2040124,0313 2040124,Not Found
26,Al-Fakhir Lingerie Store,0335 3938452,"Shop#14, 2nd Floor, RJ Mall, Gulistan-e-Johar, Karachi, Karachi City, Sindh",Not Found
27,Glorious,Not found.,"Store no G-71, Upper Ground Floor, CTC Shopping Mall، Khayaban-e-Iqbal Rd, Block 8 Clifton, Karachi, Karachi City, Sindh 75600",Not Found
28,bodyfocus.pk,0311 2829289,"Gulshan-e-Iqbal Flyover, Block 10 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",Not Found
29,Jockey,(021) 35248699,"Phase V Stadium Commercial Area Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
30,London Fashion Gallery,Not found.,"Bahadurabad BMCHS Sharafabad, Karachi, Karachi City, Sindh",Not Found
31,Triumph Pakistan,Not found.,"1st Floor, Dolmen Mall, Block 4 Clifton, Karachi, Karachi City, Sindh 75600",Not Found
32,The Secret - Lingerie and Undergarments,Not found.,"South Park Avenue, D.H.A Phase II Extension Phase 2 Commercial Area Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
33,Halai Store,0333 9975152,"near tahir bazar saddar, 74400",Not Found
34,Triumph Store,Not found.,"2nd Floor, LuckyOne Mall, Block 21 Gulberg Town, Karachi, Karachi City, Sindh",Not Found
35,Nighty4u,(021) 35165073,"Shop # G28, Ground Floor ,Vincy Mall , Clifton, Near Forum Mall, Karachi، Service Ln, Block 9 Clifton, Karachi, Karachi City, Sindh 75600",Not Found
36,Jockey Badar Commercial,(021) 35840533,"No.10, Shop No. 1 , Plot, No. 8 'C' St, Phase V Badar Commercial Area Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
37,Imported.pk,0332 9272722,"PHA PHA، A. 97،، Block 10 Prime Minister Housing Scheme Nawaz Sharif Housing Scheme (PHA Flats), Karachi, Karachi City, Sindh 75290",https://www.imported.pk/
38,Lakhanis Mart,(021) 35831329,"Suite # 46/55, First Floor,, Sasi Arcade, clifton block 7, Khayaban-e-iqbal, near KPT Underpass, Clifton ,, Zone A Block 7 Clifton, Karachi, Karachi City, Sindh 75600",Not Found
39,"Women's Corner, Aman Orchid Tower & Shopping Mall",0300 2892341,"Shop No. G-141 Aman Orchid Tower & Shopping Mall، Korangi Crossing Rd, Allah Wala Town Sector H Korangi, Karachi, Karachi City, Sindh 74900",Not Found
